SA1_7DIG16,state_ab,div_nm,v_lnp_sa1,v_alp_sa1,v_t_sa1,p_lnp_sa1,p_alp_sa1,swing
4102204,SA,Adelaide,177.5,142.3,319.8,55.5,44.5,-1.94
4102205,SA,Adelaide,144,124.3,268.3,53.66,46.34,-1.02
4102206,SA,Adelaide,190,161.5,351.5,54.05,45.95,-1.4
4102207,SA,Adelaide,194.6,159.2,353.79999999999995,55.01,44.99,-1.65
4102208,SA,Adelaide,153.6,136.5,290.1,52.95,47.05,0.4
4102209,SA,Adelaide,145.9,124.4,270.3,53.97,46.03,-1.36
4102210,SA,Adelaide,200.3,182.1,382.4,52.38,47.62,-0.54
4102211,SA,Adelaide,204,185.4,389.4,52.38,47.62,-0.66
4102212,SA,Adelaide,109.4,100,209.4,52.24,47.76,-0.68
4102213,SA,Adelaide,175.4,153.9,329.3,53.27,46.73,-0.38
4102214,SA,Adelaide,128.7,113.6,242.29999999999998,53.13,46.87,-0.64
4102215,SA,Adelaide,140.8,116.8,257.6,54.67,45.33,1.29
4102216,SA,Adelaide,120.1,110.5,230.6,52.08,47.92,-0.72
4102217,SA,Adelaide,120.3,102,222.3,54.1,45.9,-0.65
4102301,SA,Adelaide,158.4,109.9,268.3,59.04,40.96,-2.46
4102302,SA,Adelaide,248,171.5,419.5,59.12,40.88,-2.44
4102303,SA,Adelaide,186,128,314,59.24,40.76,-2.44
4102304,SA,Adelaide,207.9,188.9,396.8,52.39,47.61,-1.45
4102305,SA,Adelaide,209.9,165.2,375.1,55.96,44.04,-2.81
4102306,SA,Adelaide,120.6,106.2,226.8,53.16,46.84,-2.8
4102309,SA,Adelaide,140.7,174.5,315.2,44.64,55.36,0.18
4102310,SA,Adelaide,224.5,236.2,460.7,48.73,51.27,0.33
4102312,SA,Adelaide,130.9,197.6,328.5,39.85,60.15,-3.67
4102313,SA,Adelaide,70.37,103.7,174.07,40.42,59.58,-3.72
4102314,SA,Adelaide,90.93,138.5,229.43,39.63,60.37,-3.55
4102315,SA,Adelaide,108.2,161.4,269.6,40.12,59.88,-3.91
4102316,SA,Adelaide,89.61,133.7,223.31,40.13,59.87,-2.9
4102317,SA,Adelaide,54.48,76.02,130.5,41.75,58.25,-2.99
4102318,SA,Adelaide,120.4,182.7,303.1,39.73,60.27,-3.22
4102319,SA,Adelaide,109,171.4,280.4,38.87,61.13,-4.81
4102320,SA,Adelaide,85.03,104.2,189.23000000000002,44.92,55.08,-1.7
4102322,SA,Adelaide,88.58,143.3,231.88,38.2,61.8,-4.52
4102323,SA,Adelaide,117.1,168.1,285.2,41.05,58.95,-2.32
4102324,SA,Adelaide,162.4,205.8,368.20000000000005,44.1,55.9,-2.53
4102325,SA,Adelaide,187.2,267,454.2,41.21,58.79,-2.28
4102326,SA,Adelaide,88.02,138.2,226.21999999999997,38.9,61.1,-4.03
4102337,SA,Adelaide,90.02,126.6,216.62,41.55,58.45,-2.39
4102338,SA,Adelaide,88,121.7,209.7,41.96,58.04,-1.71
4102339,SA,Adelaide,103.7,139.5,243.2,42.64,57.36,-1.1
4102341,SA,Adelaide,102.7,92.86,195.56,52.51,47.49,-2.46
4102401,SA,Adelaide,127.8,146.1,273.9,46.66,53.34,-1.85
4102402,SA,Adelaide,151,171.1,322.1,46.88,53.12,-2.41
4102403,SA,Adelaide,114.7,106.5,221.2,51.86,48.14,-0.87
4102406,SA,Adelaide,128.8,149,277.8,46.38,53.62,-2.09
4102407,SA,Adelaide,123.8,137.4,261.2,47.38,52.62,-2.28
4102408,SA,Adelaide,133.3,140.8,274.1,48.62,51.38,-2.07
4102409,SA,Adelaide,102,125.9,227.9,44.76,55.24,-1.89
4102413,SA,Adelaide,198.4,214.5,412.9,48.06,51.94,-2.94
4102414,SA,Adelaide,172,213,385,44.68,55.32,-1.83
4102415,SA,Adelaide,146.4,183.5,329.9,44.38,55.62,-1.7
4102416,SA,Adelaide,186.9,221.9,408.8,45.71,54.29,-1.72
4102417,SA,Adelaide,149.3,179.3,328.6,45.44,54.56,-1.72
4102418,SA,Adelaide,165.9,189.4,355.3,46.7,53.3,-1.89
4102425,SA,Adelaide,180.8,186.8,367.6,49.19,50.81,-1.66
4102428,SA,Adelaide,155.9,138.5,294.4,52.95,47.05,-0.59
4102429,SA,Adelaide,183.3,204.3,387.6,47.29,52.71,-2.46
4102430,SA,Adelaide,174.2,162.7,336.9,51.7,48.3,-1.21
4102431,SA,Adelaide,140.4,135.8,276.20000000000005,50.84,49.16,-0.84
4102432,SA,Adelaide,148.7,126.6,275.29999999999995,54.02,45.98,-5.23
4102433,SA,Adelaide,134.7,118,252.7,53.3,46.7,-5.54
4102434,SA,Adelaide,172.4,155.4,327.8,52.6,47.4,-5.02
4102435,SA,Adelaide,136.1,122.3,258.4,52.66,47.34,-5.48
4102436,SA,Adelaide,190,165,355,53.52,46.48,-5.03
4102437,SA,Adelaide,205.7,168.4,374.1,54.98,45.02,-5
